179	187	179	181	181
182	179	187	179	181
182	182	179	187	182
186	182	182	179	182
1584	186	182	182	533
1483	1584	186	182	858
1386	1483	1584	186	1159
1343	1386	1483	1584	1449
1350	1343	1386	1483	1390
1339	1350	1343	1386	1354
188	1339	1350	1343	1055
189	188	1339	1350	766
190	189	188	1339	476
192	190	189	188	189
189	192	190	189	190
1347	189	192	190	479
1231	1347	189	192	739
1304	1231	1347	189	1017
1328	1304	1231	1347	1302
2105	1328	1304	1231	1492
2077	2105	1328	1304	1703
1885	2077	2105	1328	1848
1711	1885	2077	2105	1944
656	1711	1885	2077	1582
184	656	1711	1885	1109
186	184	656	1711	684
187	186	184	656	303
179	187	186	184	184
189	179	187	186	185
183	189	179	187	184
176	183	189	179	181
2029	176	183	189	644
1925	2029	176	183	1078
1932	1925	2029	176	1515
1917	1932	1925	2029	1950
1877	1917	1932	1925	1912
1897	1877	1917	1932	1905
333	1897	1877	1917	1506
301	333	1897	1877	1102
287	301	333	1897	704
285	287	301	333	301
188	285	287	301	265
184	188	285	287	236
179	184	188	285	209
183	179	184	188	183
181	183	179	184	181
1755	181	183	179	574
2099	1755	181	183	1054
1812	2099	1755	181	1461
1715	1812	2099	1755	1845
189	1715	1812	2099	1453
181	189	1715	1812	974
198	181	189	1715	570
144	198	181	189	178
197	144	198	181	180
185	197	144	198	181
